iter	Passed	Remaining
436	1440	5150
437	1443	5146
438	1445	5139
439	1449	5140
440	1452	5134
441	1455	5130
442	1458	5125
443	1461	5121
444	1464	5116
445	1467	5113
446	1470	5109
447	1474	5109
448	1477	5105
449	1481	5103
450	1484	5097
451	1487	5093
452	1491	5092
453	1494	5090
454	1498	5087
455	1501	5082
456	1503	5077
457	1507	5074
458	1509	5069
459	1513	5066
460	1516	5061
461	1519	5057
462	1522	5055
463	1526	5053
464	1530	5052
465	1534	5049
466	1537	5046
467	1541	5046
468	1545	5044
469	1548	5041
470	1551	5035
471	1555	5034
472	1558	5031
473	1561	5026
474	1564	5023
475	1567	5019
476	1571	5016
477	1574	5012
478	1577	5008
479	1581	5008
480	1584	5002
481	1587	4999
482	1590	4995
483	1593	4991
484	1596	4987
485	1600	4984
486	1603	4983
487	1608	4985
488	1614	4987
489	1617	4983
490	1620	4980
491	1623	4976
492	1626	4971
493	1630	4971
494	1633	4967
495	1637	4965
496	1640	4960
497	1643	4957
498	1647	4954
499	1650	4951
500	1653	4947
501	1656	4943
502	1659	4939
503	1662	4936
504	1666	4933
505	1670	4931
506	1672	4926
507	1676	4924
508	1680	4921
509	1683	4919
510	1688	4920
511	1693	4921
512	1696	4917
513	1700	4915
514	1703	4912
515	1706	4907
516	1710	4907
517	1713	4903
518	1717	4901
519	1721	4898
520	1724	4894
521	1728	4892
522	1730	4887
523	1734	4884
524	1737	4881
525	1740	4878
526	1744	4875
527	1747	4870
528	1750	4868
529	1753	4864
530	1756	4859
531	1760	4859
532	1764	4856
533	1768	4855
534	1771	4850
535	1775	4849
536	1778	4845
537	1782	4843
538	1785	4839
539	1789	4837
540	1793	4836
541	1796	4833
542	1800	4831
543	1803	4827
544	1806	4824
545	1810	4820
546	1813	4816
547	1818	4819
548	1821	4815
549	1825	4813
550	1829	4809
551	1833	4809
552	1836	4805
553	1840	4803
554	1843	4798
555	1846	4795
556	1851	4795
557	1854	4793
558	1858	4790
559	1861	4786
560	1864	4781
561	1867	4778
562	1870	4775
563	1874	4773
564	1878	4769
565	1881	4767
566	1884	4762
567	1888	4761
568	1891	4756
569	1894	4752
570	1897	4748
571	1900	4744
572	1902	4739
573	1906	4736
574	1909	4733
575	1913	4729
576	1915	4724
577	1918	4718
578	1921	4716
579	1924	4712
580	1927	4707
581	1931	4705
582	1933	4700
583	1938	4699
584	1941	4695
585	1944	4692
586	1948	4689
587	1951	4686
588	1955	4684
589	1958	4680
590	1961	4676
591	1965	4673
592	1967	4668
593	1971	4667
594	1974	4662
595	1977	4657
596	1980	4653
597	1983	4650
598	1986	4646
599	1989	4643
600	1992	4638
601	1996	4635
602	2000	4633
603	2003	4630
604	2006	4625
605	2009	4621
606	2012	4619
607	2015	4614
608	2018	4610
609	2022	4608
610	2025	4604
611	2028	4601
612	2031	4596
613	2035	4595
614	2038	4590
615	2042	4589
616	2045	4585
617	2048	4581
618	2052	4578
619	2054	4573
620	2057	4569
621	2061	4566
622	2063	4559
623	2066	4557
624	2070	4554
625	2073	4551
626	2076	4547
627	2079	4543
628	2082	4539
629	2086	4537
630	2089	4533
631	2093	4530
632	2095	4526
633	2099	4524
634	2102	4520
635	2106	4517
636	2109	4514
637	2113	4512
638	2117	4509
639	2120	4506
640	2123	4501
641	2127	4499
642	2129	4495
643	2134	4494
644	2137	4490
645	2140	4487
646	2143	4483
647	2147	4479
648	2150	4476
649	2154	4474
650	2157	4471
651	2160	4466
652	2163	4461
653	2167	4460
654	2169	4455
655	2172	4451
656	2175	4447
657	2178	4442
658	2181	4438
659	2185	4436
660	2187	4431
661	2191	4428
662	2194	4424
663	2197	4421
664	2200	4417
665	2204	4414
666	2206	4410
667	2209	4405
668	2212	4401
669	2216	4399
670	2219	4396
671	2223	4394
672	2226	4390
673	2229	4387
674	2232	4382
675	2236	4380
676	2240	4378
677	2243	4374
678	2247	4371
679	2250	4369
680	2253	4365
681	2257	4362
682	2260	4357
683	2264	4356
684	2267	4352
685	2270	4348
686	2273	4344
687	2277	4342
688	2280	4339
689	2283	4335
690	2285	4330
691	2289	4327
692	2292	4323
693	2295	4320
694	2299	4316
695	2301	4311
696	2304	4308
697	2308	4305
698	2312	4303
699	2315	4300
700	2318	4296
701	2322	4294
702	2326	4291
703	2330	4289
704	2332	4284
705	2336	4283
706	2340	4279
707	2342	4275
708	2346	4273
709	2349	4269
710	2352	4265
711	2355	4261
712	2358	4257
713	2362	4254
714	2364	4250
715	2368	4247
716	2371	4244
717	2375	4242
718	2379	4238
719	2382	4235
720	2385	4230
721	2388	4228
722	2391	4224
723	2395	4221
724	2397	4216
725	2401	4213
726	2404	4210
727	2407	4207
728	2411	4203
729	2414	4200
730	2417	4196
731	2421	4194
732	2424	4191
733	2428	4189
734	2432	4185
735	2436	4184
736	2439	4180
737	2443	4178
738	2446	4174
739	2450	4172
740	2453	4169
741	2457	4166
742	2460	4163
743	2464	4160
744	2466	4155
745	2470	4152
746	2472	4148
747	2475	4144
748	2479	4140
749	2482	4137
750	2485	4133
751	2488	4130
752	2493	4128
753	2497	4126
754	2500	4123
755	2504	4120
756	2508	4119
757	2512	4117
758	2516	4114
759	2519	4110
760	2521	4105
761	2526	4104
762	2528	4099
763	2532	4097
764	2536	4094
765	2539	4090
766	2542	4087
767	2546	4085
768	2549	4081
769	2552	4077
770	2555	4073
771	2559	4071
772	2562	4067
773	2566	4065
774	2569	4060
775	2573	4058
776	2575	4054
777	2578	4050
778	2581	4045
779	2584	4043
780	2588	4039
781	2593	4038
782	2596	4035
783	2600	4033
784	2603	4029
785	2608	4029
786	2611	4025
787	2615	4022
788	2618	4018
789	2621	4015
790	2624	4011
791	2627	4007
792	2631	4004
793	2634	4001
794	2637	3998
795	2642	3996
796	2645	3993
797	2649	3990
798	2652	3986
799	2656	3984
800	2659	3981
801	2663	3978
802	2666	3974
803	2669	3971
804	2673	3968
805	2676	3965
806	2680	3962
807	2683	3958
808	2686	3954
809	2689	3951
810	2692	3947
811	2696	3945
812	2699	3941
813	2702	3937
814	2705	3933
815	2709	3931
816	2711	3926
817	2714	3923
818	2717	3918
819	2721	3916
820	2723	3911
821	2727	3908
822	2730	3905
823	2733	3901
824	2738	3899
825	2741	3897
826	2745	3894
827	2749	3891
828	2752	3888
829	2756	3885
830	2759	3882
831	2763	3879
832	2766	3875
833	2769	3872
834	2772	3868
835	2776	3865
836	2779	3862
837	2782	3858
838	2786	3856
839	2789	3851
840	2791	3847
841	2795	3844
842	2799	3841
843	2804	3840
844	2807	3836
845	2811	3834
