iter	RMSE
587	0.5960335467
588	0.5954953915
589	0.5952783859
590	0.5947606377
591	0.5945054098
592	0.5941815441
593	0.5937233512
594	0.5934886181
595	0.5933274812
596	0.5931790927
597	0.5925911625
598	0.592235698
599	0.5916422351
600	0.5914804071
601	0.591019282
602	0.5908406968
603	0.5905569
604	0.5901590832
605	0.5897569041
606	0.5894507877
607	0.5891675426
608	0.5888394417
609	0.5887682434
610	0.5885444351
611	0.588186857
612	0.5880611066
613	0.5878360094
614	0.5874179046
615	0.5871763499
616	0.5866535759
617	0.5862921465
618	0.5859863441
619	0.5858850065
620	0.5856141095
621	0.5855974141
622	0.5855847359
623	0.5852253818
624	0.5849219057
625	0.5847711979
626	0.5844258787
627	0.5841925272
628	0.5838151859
629	0.583363145
630	0.5833149589
631	0.5832682338
632	0.582970757
633	0.5824886146
634	0.5821220109
635	0.581713539
636	0.5813922596
637	0.581262469
638	0.5812292743
639	0.580998475
640	0.5809804406
641	0.5807805346
642	0.5807687075
643	0.5804650352
644	0.5801942639
645	0.5798437966
646	0.5796288331
647	0.5795628096
648	0.5791951377
649	0.5789736548
650	0.5788394861
651	0.578808558
652	0.5787932344
653	0.5786594457
654	0.578448635
655	0.5782031489
656	0.5780380081
657	0.5780295386
658	0.5777711322
659	0.5773350508
660	0.5766578968
661	0.5765859507
662	0.576268519
663	0.5760691646
664	0.5755215158
665	0.5755005438
666	0.5753152728
667	0.5745654614
668	0.5742682838
669	0.5741841772
670	0.5740516329
671	0.5738756569
672	0.5738064252
673	0.5737796132
674	0.5736504075
675	0.5732289108
676	0.5728916202
677	0.5728172966
678	0.5726959412
679	0.5726548905
680	0.5724481328
681	0.5724420055
682	0.5720160316
683	0.5718521085
684	0.5717402863
685	0.5714778633
686	0.571394529
687	0.5710339289
688	0.5704773246
689	0.5703188049
690	0.5701773018
691	0.5699155445
692	0.5697189028
693	0.5696150209
694	0.5695131841
695	0.5691490432
696	0.5690105645
697	0.5688386819
698	0.5686161664
699	0.5684913936
700	0.5681467565
701	0.567946854
702	0.567934317
703	0.5675788733
704	0.5671129654
705	0.5668322395
706	0.5665348035
707	0.5665283087
708	0.5662538632
709	0.5660704822
710	0.5657210523
711	0.5656945033
712	0.5654307056
713	0.5652451418
714	0.5649146828
715	0.5648309279
716	0.5646182631
717	0.5642785727
718	0.5640665596
719	0.5638666304
720	0.5636767906
721	0.5633405448
722	0.5631529975
723	0.5627470283
724	0.5627426804
725	0.5625099131
726	0.5625048415
727	0.5620690818
728	0.5619602036
729	0.561677406
730	0.5612200692
731	0.5610886864
732	0.5609290282
733	0.5604341685
734	0.5603081147
735	0.5598640933
736	0.5596962884
737	0.5596910446
738	0.5591949008
739	0.5589647165
740	0.558721658
741	0.5585355049
742	0.5583679239
743	0.5579971044
744	0.5578783309
745	0.5573198955
746	0.556874918
747	0.5568699729
748	0.5565747737
749	0.5562696594
750	0.5560166723
751	0.5555557021
752	0.555246357
753	0.5551792006
754	0.5548063678
755	0.5546109951
756	0.5544766328
757	0.5543811078
758	0.5542992661
759	0.5541313128
760	0.5539036627
761	0.5537560824
762	0.5536167629
763	0.5535911016
764	0.5534278777
765	0.5532614118
766	0.5528990871
767	0.5524506692
768	0.5523298382
769	0.5523264213
770	0.5520713392
771	0.5518238472
772	0.5514537778
773	0.551415654
774	0.5511970695
775	0.5509226083
776	0.5504402943
777	0.5501308838
778	0.5501004544
779	0.5498970466
780	0.5497684508
781	0.5497588493
782	0.5494356686
783	0.5490672657
784	0.5489220136
785	0.5485115501
786	0.5482808741
787	0.5477702998
788	0.5472927128
789	0.547193043
790	0.5471337571
791	0.5468967754
792	0.5467182392
793	0.5464637674
794	0.54618462
795	0.545940679
796	0.5458090825
797	0.5454872953
798	0.5451928638
799	0.5450867845
800	0.544930685
801	0.5444054932
802	0.5440354825
803	0.543880927
804	0.5436856118
805	0.5436639236
806	0.5436376903
807	0.5432723619
808	0.5431673757
809	0.5429566018
810	0.5428014776
811	0.5426771068
812	0.5425284106
813	0.5425169027
814	0.542430463
815	0.542262511
816	0.5421538068
817	0.5421382349
818	0.5418589343
819	0.54142527
820	0.5411114275
821	0.5409599674
822	0.5407363478
823	0.5404183796
824	0.5401716254
825	0.5400674873
826	0.5400499549
827	0.5397633607
828	0.5396274259
829	0.5394297042
830	0.5392117776
831	0.5390992897
832	0.5389373655
833	0.5384822993
834	0.538197805
835	0.5380655341
836	0.5380334274
837	0.537807289
838	0.5377315547
839	0.5375448699
840	0.5371336468
841	0.5368639126
842	0.5365310876
843	0.5363975707
844	0.5362790703
845	0.535972691
