artist_prior_lots_total,artist_prior_lots_sold,artist_sell_through_rate,artist_avg_price,artist_median_price,artist_max_price,artist_min_price,artist_price_std,artist_price_trend,artist_avg_estimate_accuracy,artist_years_in_market,artist_days_since_last_sale,artist_desirability_score,height_cm,width_cm,surface_area_cm2,year_created,artwork_age,artist_age_at_creation,artist_deceased,is_signed,is_dated,provenance_count,literature_count,exhibition_count,has_provenance,has_literature,has_exhibitions,estimate_midpoint,estimate_spread,log_estimate_mid,is_live_auction,is_spring_sale,is_fall_sale,auction_year,market_index,artist_recent_avg_price,artist_recent_median_price,artist_recent_max_price,artist_momentum,artist_price_velocity,artist_price_per_cm2,artist_recent_lots_12m,artist_premium_trend,auction_house_prestige,provenance_quality,artist_rarity,comp_price,comp_price_best,comp_price_same_medium,comp_price_size_adj,log_comp_price,log_comp_best,log_comp_same_med,log_comp_size_adj,comp_recency_days,comp_count,comp_spread,color_richness,brightness,subject_score,palette_score,style_score,medium_category,artist_name_clean,subject,palette,style,title_subject,creation_period,log_hammer_price,auction_date,hammer_price_usd,artist_name,title,lot_id
5.0,5.0,1.0,9931.4,13144.5,14605.0,1022.35,5329.524396135174,0.3634702048606176,1.1105617647058823,3.969883641341547,0.0,1.9898595580743836,80.0,60.0,4800.0,,,,1,True,False,0,0,0,0,0,0,12700.0,0.5,9.44943600950432,1,0,1,1999.0,,9931.4,13144.5,14605.0,1.0,0.3634702048606176,2.7384375,2.0,1.1105617647058823,0,0,0.735573874445149,12664.768671156166,14312.9,14312.9,14312.9,9.44665825314488,9.568986372106751,9.568986372106751,9.568986372106751,853.0,3.0,1.24842435197698,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,9.30143714237006,1999-10-05 00:00:00,10953.75,Tyeb Mehta,Gesture,4847671374
6.0,6.0,1.0,10101.791666666666,12049.125,14605.0,1022.35,4880.064054345383,0.26895534070160754,1.069218137254902,3.969883641341547,0.0,2.0806024248383306,80.0,60.0,4800.0,,,,1,True,False,0,0,0,0,0,0,8890.0,0.3333333333333333,9.09279480812114,1,0,1,1999.0,,11917.68,13144.5,14605.0,1.1797590361445784,0.26895534070160754,2.510234375,3.0,1.069218137254902,0,0,0.6205863471003638,11581.273615216354,10953.75,10953.75,10953.75,9.357231071683545,9.301528431139323,9.301528431139323,9.301528431139323,0.0,4.0,1.1124727661313314,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,9.232444270883109,1999-10-05 00:00:00,10223.5,Tyeb Mehta,Diagonal Series,3058048237
7.0,7.0,1.0,10119.17857142857,10953.75,14605.0,1022.35,4518.262115875428,0.19899199365756048,1.0807584033613444,4.930869267624915,351.0,2.2473739204691516,80.0,60.0,4800.0,,,,1,True,False,0,0,0,0,0,0,17500.0,0.3333333333333333,9.770013301136158,1,0,1,2000.0,,11099.8,10953.75,14605.0,1.0969072164948455,0.19899199365756048,2.28203125,4.0,1.0807584033613444,0,0,0.6580557940698248,10739.680056796378,10953.75,10953.75,10953.75,9.281793686057892,9.301528431139323,9.301528431139323,9.301528431139323,351.0,5.0,0.2709353440587052,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,9.633972784039797,2000-09-20 00:00:00,15275.0,Tyeb Mehta,Gesture - III,-465464835
8.0,8.0,1.0,10763.65625,12049.125,15275.0,1022.35,4557.446250535868,0.18671594694987312,1.0547707457983193,6.0041067761806985,392.0,2.317568206123321,80.0,60.0,4800.0,,,,1,True,False,0,0,0,0,0,0,17500.0,0.3333333333333333,9.770013301136158,1,0,1,2001.0,,11233.8,10953.75,15275.0,1.0436788149937433,0.18671594694987312,2.510234375,0.0,1.0547707457983193,0,0,0.6981186133129597,11489.177988453073,15275.0,15275.0,15275.0,9.349247861449808,9.634038248345407,9.634038248345407,9.634038248345407,392.0,5.0,0.28586529603359373,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,animal,unknown,9.959395184474424,2001-10-17 00:00:00,21150.0,Tyeb Mehta,Trussed Bull,8684011903
9.0,9.0,1.0,11917.694444444445,13144.5,21150.0,1022.35,5396.011178198847,0.19023300977863727,1.071859710550887,6.0041067761806985,0.0,2.468048191295385,45.0,30.0,1350.0,,,,1,True,False,0,0,0,0,0,0,10000.0,0.5,9.210440366976517,1,0,1,2001.0,,12834.9,10953.75,21150.0,1.0769616606493144,0.19023300977863727,2.7384375,1.0,1.071859710550887,0,0,0.6254010352055439,10540.178111468691,1022.35,1022.35,1022.3500000000001,9.26304459113062,6.930836838425458,6.930836838425458,6.930836838425458,2193.0,5.0,1.0722204916137463,,,,,,works_on_paper,TYEB MEHTA,unknown,unknown,unknown,portrait,unknown,9.014933575633572,2001-10-17 00:00:00,8225.0,Tyeb Mehta,Bull head,2464061617
10.0,10.0,1.0,11548.425,12049.125,21150.0,1022.35,5237.602722154955,0.1301351330913453,1.0469237394957982,6.0041067761806985,0.0,2.5104134859173675,80.0,60.0,4800.0,,,,1,True,False,0,0,0,0,0,0,12500.0,0.5,9.433563920090563,1,0,1,2001.0,,13165.45,10953.75,21150.0,1.140021258310116,0.1301351330913453,2.860145833333333,2.0,1.0469237394957982,0,0,0.566403223306989,16577.014103204812,21150.0,21150.0,21150.0,9.715832644869218,9.959442464680574,9.959442464680574,9.959442464680574,0.0,5.0,0.25990701392890114,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,untitled,unknown,9.266248003914479,2001-10-17 00:00:00,10575.0,Tyeb Mehta,Untitled,-907035710
11.0,11.0,1.0,11459.931818181818,10953.75,21150.0,1022.35,5001.692781688685,0.10286139490781089,1.0286579449961801,6.926762491444216,337.0,2.556118967878267,120.0,90.0,10800.0,,,,1,True,False,0,0,0,0,0,0,50000.0,0.5,10.819798284210286,1,0,1,2002.0,,13089.7,10575.0,21150.0,1.142214474542725,-0.011538461581583849,2.7384375,3.0,1.0368178571428572,0,0,0.592401802962009,13874.919810932848,21150.0,21150.0,47587.5,9.537910229097218,9.959442464680574,9.959442464680574,10.770346414391687,337.0,5.0,0.2801151283236123,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,11.585711134695876,2002-09-19 00:00:00,107550.0,Tyeb Mehta,Mahishasura,-496234542
12.0,12.0,1.0,19467.4375,12049.125,107550.0,1022.35,26986.17805741893,0.17237717963478313,1.122186449579832,6.926762491444216,0.0,2.878351412801833,150.0,110.0,16500.0,,,,1,True,False,0,0,0,0,0,0,190000.0,0.1111111111111111,12.154784614286667,1,0,1,2002.0,,32555.0,15275.0,107550.0,1.6722796721448316,0.12086693924985781,2.860145833333333,4.0,1.139217857142857,0,0,0.5457290767903364,54689.739889821576,107550.0,107550.0,164312.5,10.909449685044725,11.585720432653579,11.585720432653579,12.009531467417963,0.0,5.0,0.8559676951851007,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,12.668233097314884,2002-09-19 00:00:00,317500.0,Tyeb Mehta,Celebration,2832086198
13.0,13.0,1.0,42393.019230769234,13144.5,317500.0,1022.35,83541.73720319162,0.2443967847322237,1.1644069251182254,6.926762491444216,0.0,3.072936630388018,45.0,30.0,1350.0,,,,1,True,False,0,0,0,0,0,0,8500.0,0.42857142857142855,9.04793908261736,1,0,1,2002.0,,93000.0,21150.0,317500.0,2.193757408354151,0.28922014988782346,2.9818541666666665,5.0,1.1913231203007517,0,0,0.5058735316170957,9291.90138457037,8225.0,8225.0,8225.0,9.137006095704022,9.015055148790369,9.015055148790369,9.015055148790369,337.0,5.0,1.0646676700870465,,,,,,works_on_paper,TYEB MEHTA,unknown,unknown,unknown,other,unknown,9.100748695346088,2002-09-19 00:00:00,8962.0,Tyeb Mehta,Untitled; Untitled,3410444388
14.0,14.0,1.0,40005.08928571428,12049.125,317500.0,1022.35,80961.93383707551,0.1807584576422978,1.1565459262652429,7.7207392197125255,290.0,3.131984428206533,120.0,90.0,10800.0,,,,1,True,False,0,0,0,0,0,0,83200.0,0.16666666666666666,11.329014645967838,1,0,0,2003.0,,90562.4,10575.0,317500.0,2.263771975440625,0.2186438883888532,3.01228125,3.0,1.1932584144183989,0,0,0.5226577703641924,118015.6312304367,107550.0,107550.0,107550.0,11.678580836147141,11.585720432653579,11.585720432653579,11.585720432653579,290.0,5.0,1.2937306514258669,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,untitled,unknown,11.714788176971018,2003-07-06 00:00:00,122368.0,Tyeb Mehta,Untitled,5530329338
