lot_id,lot_number,auction_id,auction_title,auction_date,auction_location,sale_type,artist_name,artist_birth_year,artist_death_year,title,medium_raw,medium_category,height_cm,width_cm,year_created,is_signed,is_dated,provenance_text,provenance_count,literature_text,literature_count,exhibited_text,exhibition_count,estimate_low_usd,estimate_high_usd,estimate_currency,hammer_price_usd,hammer_currency,is_sold,is_withdrawn,image_url,lot_url
pundoles_1-AA33LD_bombay-docks,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,SAYED HAIDER RAZA,1922.0,2016.0,Untitled,Watercolour on paper,watercolor_on_paper,36.8,54.6,1947.0,True,False,,0,"This work will be included in the forthcoming SH Raza, Catalogue Raisonné by Anne Macklin.
‘Raza justifies his preference for water colour on the plea that it is cheaper and lends itself to easier outdoor painting. Reasons apart, he has translated his partiality for water colours into some specimens truly representative of his reactions to the outside world. depending more on colour as a vehicle of expression, he splashes on paper in a carefree manner and succeeds in producing the correct atmosphere, as well as the innermost feeling and emotions of the subjects he handles.
He creates forms not by outlining colours but by contrasting them. His works always have a refreshing air about them, which arrests the immediate attentions of observers. In his quick wash work he just drops colour of the figures and lifts them out or throws them into the background and produces a sense of space. With a bold brush, he is predominantly impressionist; his colours are vital but his anatomy is weak. He has a great future before him in the field of art in this country.
We miss the linear qualities in his painting, but the impressions are always striking. There is an unfinished appearance in his works, but that only stirs the imagination of the observer. He is an artist of profundity.’
(Manu Thacker, ‘Raza: Landscape Artist, Painters of the Present’, The Illustrated Weekly of India, 11 July 1948, reprinted in Manu Thacker and G Venkatachalam, Present-day Painters of India, Mumbai, 1950, pp. 39 – 41.)",5,,0,24000.0,36000.0,INR,192000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA369H/bombay-docks
pundoles_1-AA33LD_still-life,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,KRISHNAJI HOWLAJI ARA,1914.0,1985.0,Untitled,Gouache on paper,gouache_on_paper,49.5,74.3,,True,False,,0,,0,,0,6000.0,8400.0,INR,42000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA369J/still-life
pundoles_1-AA33LD_galta-jaipur,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,BIMAL DASGUPTA,1910.0,2000.0,Untitled,Gouache on board,gouache_on_board,74.0,53.6,1945.0,True,True,,0,"Bimal Dasgupta, Contemporary Indian Art Series, Lalit Kala Akademi, New Delhi, 1989, fig. 10, illustrated.",1,,0,3600.0,6000.0,INR,19200.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA369L/galta-jaipur
pundoles_1-AA33LD_benaras,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,RAM KUMAR,1924.0,2018.0,Oil on canvas,Oil on canvas,oil_on_canvas,62.9,62.9,1961.0,True,True,,0,,0,,0,72000.0,96000.0,INR,156000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA369N/benaras
pundoles_1-AA33LD_male-nude,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,FRANCIS NEWTON SOUZA,1924.0,2002.0,Untitled,Oil on board,oil_on_board,122.5,61.0,1960.0,True,True,,0,,0,,0,300000.0,420000.0,INR,660000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA369P/male-nude
pundoles_1-AA33LD_surrealist-dream,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,BIKASH BHATTACHARJEE,1940.0,2006.0,Untitled,Mixed media and collage on board,mixed_media,123.1,91.8,1969.0,True,True,,0,"Manasji Majumder, Close to Events, Works of Bikash Bhattacharjee, New Delhi, 2007, p. 31, illustrated.
Making realism the core of his practice at a time when it was considered a regressive trend, Bikash Bhattacharjee set himself apart from his contemporaries. His technical mastery over the style gave him the ability to imbue his paintings with complex, multi-layered meanings through deliberate distortions. His illusionary realities juxtapose the real with the unreal, creating haunting and hypnotic imagery infused with a transcendental glow. The present lot, a surrealist pastiche, is an unsettling amalgamation of fragmented faces and muted gestures, and comments on the ways in which personal and collective histories intersect at the most primal levels.
Surrealism, a movement that flourished in Europe between the two world wars, was a radical revolt against the constraints of reason and reality. At its core, the movement sought to transcend conventional thought and explore the irrational, delving into the unconscious mind. This movement emerged in the wake of WWI, a time when traditional values and beliefs had been shattered by the horrors of war. Surrealism rejected the linear, logical order that had governed art and society, and instead, embraced the chaotic, irrational, and often nonsensical elements of dreams, fantasies, and automatic processes, thereby allowing artists to access hidden layers of the human psyche. Through absurdity and juxtaposition, surrealists attacked the bourgeoisie order, questioning the systems of power, authority, and consumerism. The devastation left a profound mark on the collective psyche, and surrealists sought to give form to the emotional and psychological wounds left in its wake.
During another tumultuous time in war history, The Vietnam War, the brutalities of which dominated the headlines, Bhattacharjee created ‘a portrait of a macabre creature collaged out of clippings on printed photos depicting horrors of Vietnam war, published ",5,,0,30000.0,42000.0,INR,288000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA369T/surrealist-dream
pundoles_1-AA33LD_pink-girl-in-company,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,SHIAVAX CHAVDA,1914.0,1990.0,Untitled,Oil on canvas,oil_on_canvas,86.2,86.6,1972.0,True,True,,0,,0,,0,3600.0,6000.0,INR,21600.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA369V/pink-girl-in-company
pundoles_1-AA33LD_two-prophets-in-one,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,SADANAND K. BAKRE,1920.0,2007.0,Untitled,Oil on board,oil_on_board,41.6,28.6,1998.0,True,True,,0,,0,,0,7200.0,9600.0,INR,33600.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA369X/two-prophets-in-one
pundoles_1-AA33LD_ganesha,0,pundoles_1-AA33LD,The Fine Art Sale,,Mumbai,auction,KATTINGERI KRISHNA HEBBAR,1911.0,1966.0,Oil on canvas,Oil on canvas,oil_on_canvas,76.3,50.5,1984.0,True,True,,0,,0,,0,18000.0,24000.0,INR,90000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-AA36A7/ganesha
pundoles_1-A6DXQ3_an-illustration-from-aramayana-att-to-the-workshop-of-mira-bagas-bharata-with-his-army-spend-the-night-at-the-palace-built-by-vishwakarma,0,pundoles_1-A6DXQ3,The Works On Paper Sale,,Mumbai,auction,,1760.0,1780.0,‡* REGISTERED ANTIQUITY - NON-EXPORTABLE ITEM (Please refer to the Terms and Conditions of Sale at the back of the catalogue),The Works on Paper Sale (T0054),other,20.0,31.7,,False,False,,0,,0,,0,2400.0,3600.0,INR,22800.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-A6WA64/an-illustration-from-aramayana-att-to-the-workshop-of-mira-bagas-bharata-with-his-army-spend-the-night-at-the-palace-built-by-vishwakarma
pundoles_1-A6DXQ3_an-illustration-from-aramayana-seriesattributed-to-the-workshop-of-mira-bagas-demon-viradha-attacks-rama-and-lakshmana-and-sita,0,pundoles_1-A6DXQ3,The Works On Paper Sale,,Mumbai,auction,,1760.0,1780.0,‡* REGISTERED ANTIQUITY - NON-EXPORTABLE ITEM (Please refer to the Terms and Conditions of Sale at the back of the catalogue),The Works on Paper Sale (T0054),other,21.0,31.4,,False,False,,0,,0,,0,2400.0,3600.0,INR,7800.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-A6WA66/an-illustration-from-aramayana-seriesattributed-to-the-workshop-of-mira-bagas-demon-viradha-attacks-rama-and-lakshmana-and-sita
pundoles_1-A6DXQ3_an-illustration-from-aramayana-seriesattributed-to-the-workshop-of-mira-bagas-surpanakha-complains-to-khara-while-rama-slays-the-demon-army,0,pundoles_1-A6DXQ3,The Works On Paper Sale,,Mumbai,auction,,1760.0,1780.0,‡* REGISTERED ANTIQUITY - NON-EXPORTABLE ITEM (Please refer to the Terms and Conditions of Sale at the back of the catalogue),The Works on Paper Sale (T0054),other,19.5,31.2,,False,False,,0,,0,,0,2400.0,3600.0,INR,20400.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-A6WA68/an-illustration-from-aramayana-seriesattributed-to-the-workshop-of-mira-bagas-surpanakha-complains-to-khara-while-rama-slays-the-demon-army
