lot_id,lot_number,auction_id,auction_title,auction_date,auction_location,sale_type,artist_name,artist_birth_year,artist_death_year,title,medium_raw,medium_category,height_cm,width_cm,year_created,is_signed,is_dated,provenance_text,provenance_count,literature_text,literature_count,exhibited_text,exhibition_count,estimate_low_usd,estimate_high_usd,estimate_currency,hammer_price_usd,hammer_currency,is_sold,is_withdrawn,image_url,lot_url,auction_year,surface_area_cm2,estimate_avg,theme
6039880005,693,,South Asian Modern + Contemporary Art,2024-09-18,New York,live,SAYED HAIDER RAZA,1922,2016,Untitled,,acrylic_on_canvas,70,70,,True,False,,0,,0,,0,20000.0,30000.0,USD,40320.0,USD,True,False,,https://www.christies.com/en/lot/lot-6495218,2024,4900,25000.0,Other
-307718971,692,,South Asian Modern + Contemporary Art,2024-09-18,New York,live,SAYED HAIDER RAZA,1922,2016,Untitled,,acrylic_on_canvas,70,70,,True,False,,0,,0,,0,15000.0,20000.0,USD,37800.0,USD,True,False,,https://www.christies.com/en/lot/lot-6495217,2024,4900,17500.0,Other
-863208545,691,,South Asian Modern + Contemporary Art,2024-09-18,New York,live,SAYED HAIDER RAZA,1922,2016,La Nuit,,acrylic_on_canvas,100,100,,True,False,,0,,0,,0,120000.0,180000.0,USD,151200.0,USD,True,False,,https://www.christies.com/en/lot/lot-6495216,2024,10000,150000.0,Other
-552246559,643,,South Asian Modern + Contemporary Art,2024-09-18,New York,live,SAYED HAIDER RAZA,1922,2016,Untitled,,acrylic_on_canvas,70,70,,True,False,,0,,0,,0,25000.0,35000.0,USD,88200.0,USD,True,False,,https://www.christies.com/en/lot/lot-6495168,2024,4900,30000.0,Other
6921147185,644,,South Asian Modern + Contemporary Art,2024-09-18,New York,live,SAYED HAIDER RAZA,1922,2016,Untitled,,oil_on_canvas,120,120,,True,False,,0,,0,,0,100000.0,150000.0,USD,340200.0,USD,True,False,,https://www.christies.com/en/lot/lot-6495169,2024,14400,125000.0,Other
-432553599,642,,South Asian Modern + Contemporary Art,2024-09-18,New York,live,SAYED HAIDER RAZA,1922,2016,Naga,,acrylic_on_canvas,70,70,,True,False,,0,,0,,0,12000.0,18000.0,USD,22680.0,USD,True,False,,https://www.christies.com/en/lot/lot-6495167,2024,4900,15000.0,Geometry / Abstraction
-678796195,628,,South Asian Modern + Contemporary Art,2024-09-18,New York,live,SAYED HAIDER RAZA,1922,2016,Untitled (Landscape),,acrylic_on_canvas,100,100,,True,False,,0,,0,,0,60000.0,80000.0,USD,138600.0,USD,True,False,,https://www.christies.com/en/lot/lot-6495153,2024,10000,70000.0,Tapovan / Nature
2314422910,629,,South Asian Modern + Contemporary Art,2024-09-18,New York,live,SAYED HAIDER RAZA,1922,2016,Le Temps des Chants,,acrylic_on_canvas,70,70,,True,False,,0,,0,,0,12000.0,18000.0,USD,60480.0,USD,True,False,,https://www.christies.com/en/lot/lot-6495154,2024,4900,15000.0,Other
8049885001,627,,South Asian Modern + Contemporary Art Including Works from the Collection of Umesh and Sunanda Gaur,2024-03-20,New York,live,SAYED HAIDER RAZA,1922,2016,Landscape,,oil_on_canvas,120,120,,True,False,,0,,0,,0,70000.0,90000.0,USD,415800.0,USD,True,False,,https://www.christies.com/en/lot/lot-6471603,2024,14400,80000.0,Tapovan / Nature
-636183414,643,,South Asian Modern + Contemporary Art Including Works from the Collection of Umesh and Sunanda Gaur,2024-03-20,New York,live,SAYED HAIDER RAZA,1922,2016,Reflets,,oil_on_canvas,120,120,,True,False,,0,,0,,0,100000.0,150000.0,USD,378000.0,USD,True,False,,https://www.christies.com/en/lot/lot-6471619,2024,14400,125000.0,Other
-407392820,644,,South Asian Modern + Contemporary Art Including Works from the Collection of Umesh and Sunanda Gaur,2024-03-20,New York,live,SAYED HAIDER RAZA,1922,2016,Untitled (Gateway of India),,acrylic_on_canvas,100,100,,True,False,,0,,0,,0,20000.0,30000.0,USD,138600.0,USD,True,False,,https://www.christies.com/en/lot/lot-6471620,2024,10000,25000.0,Other
5100066031,720,,South Asian Modern + Contemporary Art,2023-09-20,New York,live,SAYED HAIDER RAZA,1922,2016,Eglise Jaune,,oil_on_canvas,100,100,,True,False,,0,,0,,0,70000.0,90000.0,USD,226800.0,USD,True,False,,https://www.christies.com/en/lot/lot-6441520,2023,10000,80000.0,Cityscape
-921417546,721,,South Asian Modern + Contemporary Art,2023-09-20,New York,live,SAYED HAIDER RAZA,1922,2016,Rajasthan,,oil_on_canvas,150,150,,True,False,,0,,0,,0,250000.0,350000.0,USD,1033200.0,USD,True,False,,https://www.christies.com/en/lot/lot-6441521,2023,22500,300000.0,Geometry / Abstraction
1433249911,722,,South Asian Modern + Contemporary Art,2023-09-20,New York,live,SAYED HAIDER RAZA,1922,2016,Untitled (Bindu),,acrylic_on_canvas,100,100,,True,False,,0,,0,,0,30000.0,50000.0,USD,176400.0,USD,True,False,,https://www.christies.com/en/lot/lot-6441522,2023,10000,40000.0,Bindu (Point)
